Title,City,District,Building_Area,Land_Area,Price,Area_Total,Category
DIJUAL CEPAT RUMAH TINGGAL SANGAT STRATEGIS DI KEBON JERUK NEGO,Jakarta,Kebon Jeruk,144,144,3500000000,288,Medium
TOBA LAKE VILLAS - RUMAH KONSEP RESORT DI TEPI DANAU ASYA JAKARTA GARDEN CITY,Jakarta,Cakung,506,465,9300000000,971,Large
Rumah Murah Pinggir Jalan cocok untuk Bisnis Usaha & Kost-an di Cibubur,Jakarta,Cibubur,240,240,1500000000,480,Large
"Dijual/Disewakan Rumah Klasik Bagus & Luas, 2 Lantai di Villa Gading Indah",Jakarta,Kelapa Gading,800,442,17900000000,1242,Large
PERUMAHAN Subsidi Terdekat Cibubur - PURI ASRI 3,Jakarta,Cibubur,30,60,178000000,90,Small
"DIJUAL RUMAH BARU AMERICAN CLASSIC, CEMPAKA PUTIH JAKARTA PUSAT",Jakarta,Cempaka Putih,412,308,12000000000,720,Large
RUMAH MEWAH CLASSIC PATRA KUNINGAN JAKARTA SELATAN,Jakarta,Kebayoran Baru,800,720,85000000000,1520,Large
Rumah dijual Di Kota Wisata 2 lantai semi Furnished,Jakarta,Kota Wisata,232,160,2800000000,392,Large
"CLUSTER KELIMUTU - ASYA JGC - STRATEGIS DEKAT TOL, MRT, LRT",Jakarta,Cakung,155,155,2700000000,310,Large
Rumah Dijual di dalam cluster bebas Banjir,Jakarta,Lenteng Agung,350,1454,15000000000,1804,Large
di jual lelang rumah pasar minggu,Jakarta,Pasar Minggu,180,445,2900000000,625,Large
Cluster Favorit Maninjau Asya Jakarta Garden City,Jakarta,Cakung,112,105,4600000000,217,Medium
Rumah Cluster Terbaru Gaya SCANDINAVIAN   - Harga 700jt Siap Huni Lokasi Premium,Jakarta,Jagakarsa,68,63,770000000,131,Small
"DIJUAL RUMAH SIAP HUNI DI AREA JL.CIPETE DALAM,CIPETE",Jakarta,Cipete,700,650,22000000000,1350,Large
Rumah Murah Jakarta SHM Tingkat 2 Lt Di Utan Kayu Matraman mulai 300jtan,Jakarta,Utan Kayu,28,15,330000000,43,Small
Rumah dijual hitung tanah dijaksel,Jakarta,SetiaBudi,90,150,2850000000,240,Small
Di Jual rumah bagus Full Furnished Lokasi Lenteng Agung - Jagakarsa Kota Jakarta,Jakarta,Lenteng Agung,94,94,1550000000,188,Medium
Cluster Sentarum @ASYA Jakarta Garden City -,Jakarta,Cawang,156,112,2900000000,268,Large
Bintaro Jaksel Jalan Merak,Jakarta,Bintaro,240,182,3100000000,422,Large
Dijual Rumah Modern Bagus 2 Lantai di Villa Gading Indah,Jakarta,Kelapa Gading,450,300,12500000000,750,Large
Darmawangsa Tenang jln lebar  hitung tanah,Jakarta,Kebayoran Baru,579,597,32000000000,1176,Large
"Dijual Cepat Rumah lama siap Huni Di area Permata Hijau,Jaksel",Jakarta,Permata Hijau,600,1290,45000000000,1890,Large
Modern Villa House Area Cilandak Siap Huni dan Lingkungan Tenang,Jakarta,Cilandak,500,459,14500000000,959,Large
"PANTAI MUTIARA,HARGA NEGO",Jakarta,,800,600,20000000000,1400,Large
"7 Bedrooms Rumah Cibubur, Jakarta Timur, DKI Jakarta",Jakarta,Cibubur,410,411,2850000000,821,Large
Rumah Siaphuni Di Cibubur,Jakarta,Cibubur,87,69,750000000,156,Small
rumah baru murah disini  fuul minimalis,Jakarta,Kayu Manis,36,20,400000000,56,Small
Dijual Rumah Murah Jl Martimbang Raya Sinabung Kebayoran Baru Jaksel,Jakarta,Kebayoran Baru,200,264,10000000000,464,Large
Tinggal 4 Unit Rumah Cluster 2 Lantai Termurah Strategis Cimanggis Depok SHM,Jakarta,Lenteng Agung,65,60,770000000,125,Small
Midland  Smart Cluster  Warakas Harga Mulai Dari 299Juta,Jakarta,Warakas,21,21,299000000,42,Small
Di Jual Rumah Mewah 2 Lantai di Sunter Jaya Jakarta Utara,Jakarta,Sunter Jaya,530,459,8100000000,989,Large
Rumah baru dua lantai di utan kayu,Jakarta,Matraman,40,21,505000000,61,Small
NEW TOWN HOUSE SIAP HUNI DI JL M KAHFI 1,Jakarta,Jagakarsa,130,77,1525000000,207,Medium
Di jual rumah minimalis murah dan bs KPR Developer,Jakarta,Lubang Buaya,40,40,450000000,80,Small
Rumah Dijual Di Dharmawangsa Prapanca Kebayoran Baru Jakarta Selatan,Jakarta,Kebayoran Baru,350,647,50000000000,997,Large
Dijual rumah baru renovasi Durens awit jakarta timur,Jakarta,Duren Sawit,160,160,2200000000,320,Large
BELI PASTI UNTUNG! JUAL SECEPAT KILAT Rumah di Lokasi Prime Kebayoran Baru,Jakarta,Kebayoran Baru,200,237,6500000000,437,Large
Rumah Baru Minimalis Metland Puri,Jakarta,Kembangan,120,120,2500000000,240,Medium
Rumah Kebayoran Baru,Jakarta,Kebayoran Baru,500,324,39000000000,824,Large
Rumah kosan (kontrakan) 22 pintu,Jakarta,Semper Timur,300,180,2500000000,480,Large
"Dijual Cepat Rumah dan Kos-kosan Lokasi Strategis, Luas, dan Asri",Jakarta,Bintaro,500,891,15000000000,1391,Large
RUMAH MURAH DI KALI BARU,Jakarta,Senen,38,21,451000000,59,Small
Rumah murah pulogebang,Jakarta,Pulo Gebang,20,24,220000000,44,Small
"Dijual rumah murah asri minimalis, strategis Ciseeng 5jt all in",Jakarta,Kebagusan,32,65,260000000,97,Small
Rumah Mewah Ada Rooftop Dalam Cluster Rumah Cira Cipinang,Jakarta,Cipinang,300,205,6100000000,505,Large
jual bangunan bekas rumah kost 3 lantai 40 kamar (hitung jual tanah),Jakarta,Utan Kayu Utara,639,243,3700000000,882,Large
Cluster Mewah dan Murah di Kwitang Raya,Jakarta,,71,45,1500000000,116,Small
DI JUAL RUMAH MEWAH 2 LANTAI DAERAH CIPINANG,Jakarta,Cipinang,68,33,724850000,101,Small
Dandelion CIBUBUR - 700Jutaan PROMO ALL IN dekat Stasiun LRT - PREMIUM AREA,Jakarta,Cibubur,68,60,770000000,128,Small
Rumah Cantik Terbaru SCANDINAVIAN 700jutaan ALL IN dekat Tol & Stasiun HOT DEAL,Jakarta,Cijantung,68,60,770000000,128,Small
Dijual murah rumah diwilayah Jakarta Barat (Daerah Kebub Jeruk),Jakarta,Kebon Jeruk,180,105,1750000000,285,Large
DIJUAL RUMAH HOEK TEBET JAKARTA SELATAN,Jakarta,Tebet Timur,300,235,6500000000,535,Large
Jual cepat kos tanjung duren..jarang ada..nego sampai jadi,Jakarta,Tanjung Duren,180,78,3300000000,258,Large
Perumahan Mahakam Konsep Etic 3 Lantai Jakarta Garden City,Jakarta,Cakung,63,75,1900000000,138,Small
Dijual Rumah Baru View Gunung Dekat Toll Daerah Asri by Kalindoland,Jakarta,Senen,36,115,665880000,151,Small
DIJUAL RUMAH ASRI AKSES MOBIL CIBUBUR BULAK RINGIN,Jakarta,Cibubur,60,89,650000000,149,Small
RUMAH MURAH SIAP HUNI PIK 2 Cluster Pasadena Spring,Jakarta,Pluit,110,60,1300000000,170,Medium
Rumah kavling di pulogebang,Jakarta,Pulo Gebang,20,24,220000000,44,Small
Bali resort Tangerang haus++,Jakarta,Kalideres,80,60,898400000,140,Small
"Dijual Rumah Kolonel Sugiono siap huni, Nyaman buat tinggal bisa jadi 2 ruko",Jakarta,Duren Sawit,133,133,1980000000,266,Medium
Rumah murah asri minimalis modern 5jt all in,Jakarta,Joglo,42,84,402000000,126,Small
Jual butuh dan murah rumah bedeng daerah Gandaria I.,Jakarta,Gandaria,36,36,400000000,72,Small
Dijual Rumah Duren Sawit Siap Huni,Jakarta,Duren Sawit,123,102,1750000000,225,Medium
rumah baru 2lantai mewah termurah laris manis,Jakarta,Cipinang,73,35,760000000,108,Small
PREMIUM AREA - Dandelion Estate Hunian Scandinavian 700jutaan FREE BIAYA BIAYA,Jakarta,Cibubur,68,60,770000000,128,Small
